#{"t_start": 1653903596.7099578, "env_id": "JTL-v0"}
r,l,t
-233.25,200,1.181613
-137.5,200,1.488257
-202.25,200,1.81353
-106.166667,200,2.083333
-195.083333,200,2.317252
-191.666667,200,2.574955
-106.25,200,2.889085
-146.416667,200,3.147082
-219.833333,200,3.368493
9919.416667,120,3.494219
-183.083333,200,7.650783
-104.166667,200,7.896827
-195.166667,200,8.140354
-166.5,200,8.358407
-146.333333,200,8.591929
-111.583333,200,8.808046
9868.583333,186,9.05201
9987.666667,26,9.0788
-155.166667,200,9.339122
-152.916667,200,9.567014
-142.083333,200,9.797105
9986.416667,30,9.830756
-172.0,200,13.019736
9975.75,39,13.061399
9940.833333,137,13.221761
9987.666667,25,13.248598
9989.916667,23,13.270385
-99.583333,200,13.498452
9992.916667,17,13.51565
-121.166667,200,13.751559
9982.916667,39,13.789081
9990.25,28,13.815634
9984.916667,36,13.854035
9913.833333,172,14.126619
9993.5,16,14.15926
9970.916667,57,14.27408
9872.333333,161,14.565524
9969.0,74,14.703038
9980.166667,44,14.763912
9988.25,26,14.804793
9951.5,103,14.951441
9993.583333,19,14.974277
9957.083333,81,15.074808
9986.166667,28,15.114672
9985.083333,35,15.156027
9989.666667,24,15.180206
9993.583333,14,15.196066
9988.083333,22,15.22247
9979.25,53,15.27643
9989.5,24,15.3013
9979.5,35,15.339433
9981.083333,43,15.382623
9959.833333,61,15.455445
9913.5,116,15.592194
9984.833333,39,16.979814
9975.083333,59,17.06647
9990.666667,24,17.091056
9991.583333,18,17.111791
9980.416667,42,17.156316
9972.166667,70,17.236303
9985.25,35,17.284291
9984.25,34,17.348721
9991.916667,22,17.378841
-190.75,200,17.664505
-181.25,200,17.913603
9991.333333,21,17.93884
9945.666667,139,18.114783
9985.0,40,18.157506
9989.25,30,18.197203
9889.916667,129,18.348084
9986.25,41,18.389934
9985.416667,27,18.419532
9982.0,42,18.460362
9980.25,54,18.521395
9989.0,39,18.565165
9975.583333,34,18.604055
9989.5,20,18.628483
9931.916667,131,18.780904
9984.416667,31,18.816206
9897.583333,172,19.0061
-91.333333,200,19.256768
9992.666667,18,19.275463
9990.5,20,19.29757
9906.833333,133,19.449742
9991.5,21,21.006576
9989.666667,24,21.053217
-126.833333,200,21.319277
9992.833333,17,21.337133
9994.166667,14,21.351019
9991.0,20,21.373095
9977.25,56,21.434188
9991.0,26,21.46036
9984.25,34,21.521429
9993.0,17,21.548666
9994.333333,14,21.5664
9987.833333,30,21.611281
9988.583333,29,21.645285
9991.833333,16,21.666996
9994.5,12,21.681519
9992.916667,20,21.706337
9990.833333,23,21.738523
9987.75,21,21.771343
9987.0,29,21.809414
9994.5,12,21.832902
9992.5,20,21.864366
9990.75,25,21.905319
9960.916667,78,22.007954
9986.0,34,22.046156
9986.083333,42,22.153597
9993.583333,18,22.178444
9977.916667,43,22.233372
9992.416667,18,22.253332
9992.0,25,22.277411
9984.833333,52,22.332975
9992.5,17,22.349808
9994.5,12,22.36182
9992.666667,17,22.378462
9982.0,47,22.430684
9990.75,18,22.448794
9993.75,18,22.468741
9986.333333,36,22.503727
9992.25,18,22.523708
9985.5,36,22.564196
9986.666667,46,22.621788
9990.166667,20,22.642302
9972.75,72,22.723124
9985.583333,35,22.777544
9989.25,23,22.799876
9986.0,29,22.827547
9989.0,23,22.85027
9982.166667,35,22.886493
