#{"t_start": 1657101739.2384076, "env_id": "JTL-v0"}
r,l,t
-138.416667,200,5.94--101.416667,200,7.2302
-161.916667,200,7.795274
-209.0,200,8.335318
-161.833333,200,8.874605
-150.083333,200,9.413181
-110.583333,200,9.942531
-156.083333,200,10.493154
-186.583333,200,11.0358
-186.5,200,11.565661
-93.75,200,23.913146
-117.416667,164,24.356529
-4.75,17,24.401399
-108.083333,200,24.931706
-22.416667,70,25.115242
-21.833333,71,25.308849
-2.333333,8,25.333105
-112.25,192,25.843516
-4.916667,12,25.879846
-12.583333,42,25.989945
-137.083333,200,26.525842
-61.833333,132,26.89881
-39.416667,68,27.076931
-20.666667,71,27.268221
-27.083333,44,27.388536
-18.333333,56,2--167.083333,200,27.116282
-80.333333,175,27.587706
-78.75,200,28.122422
-14.833333,36,28.223626
-83.166667,200,31.062525
-8.083333,29,31.139997
-5.5,13,31.178002
-46.083333,93,31.428873
-22.916667,67,31.662464
-10.333333,28,31.736522
-5.25,14,31.772858
--91.0,200,32.753218--58.666667,109,33.026522-84.583333,200,32.631887
-45.083333,112,32.938298
-9.416667,25,33.002523
-23.166667,69,33.176106
-20.083333,71,33.364966
-6.916667,21,33.420034
-15.0,34,33.512454
-3.0-79.25,200,33.-11.0833-20.75,61,33.7223-68.833333,112,3-103.5,190-70.916667,1-8.833333,31,34.19642
-84.416667,197,34.724912
-10.75,32,34.807393
-8.416667,22,34.865286
-52.083333,82,35.076967
-3.416667,1-104.333333,200,35.315359
-10.666667,-78.25,140,35.652511
-87.666667,191,37.019733
-10.416667,31,37.101114
-6.25,16,37.144512
-9.583333,35,37.236952
-36.833333,102,37.504305
-3.833333,13,37.538718
-9.0,23,37.600708
-5.083333,16,37.643337
-4.333333,12,37.675327
-6.083333,20,37.731533
-5.0,21,37.786779
-13.833333,51,37.921053
-5.916667,15,37.960798
-11.833333,35,38.050305
-7.5,27,38.124075
-13.916667,47,38.258806
-12.833333,33,38.346865
-5.916667,21,38.404606
-2.666667,9,38.428152
-2.916667,12,38.45916
-6.916667,25,38.525934
-8.75,25,38.595027
-3.5,13,38.637979
-9.833333,24,38.702013
-5.083333,14,38.744283
-9.583333,33,38.850269
-14.5,52,39.018398
-6.75,18,39.059396
-2.583333,9,39.0825
-6.333333,16,39.126221
-13.25,26,39.194545
-59.75,140,39.574143
-8.916667,29,39.64931
-5.916667,17,39.693903
-7.75,16,39.741341
-4.833333,14,39.779958
-3.583333,13,39.814837
-2.666667,10,39.841753
-15.416667,32,39.927614
-5.666667,19,39.979851
-5.75,22,40.039031
-14.333333,51,40.181097
-3.916667,16,40.224729
-11.583333,46,40.39216
-6.166667,17,40.433692
-5.583333,22,40.484997
-5.0,15,40.52696
-3.333333,16,40.568348
-11.166667,29,40.65289
-10.25,33,40.741897
-6.0,20,40.797261
-8.166667,27,40.870702
-7.166667,20,40.923594
-9.5,27,40.997786
-5.25,17,41.041689
-4.833333,20,41.092598
-8.416667,23,41.15443
-2.333333,8,41.178724
-3.083333,11,41.206589
-21.5,64,41.385312
-10.0,38,41.485516
-8.083333,21,41.542359
-10.083333,27,41.613326
-9.083333,26,41.684745
-8.5,30,41.770842
-12.916667,36,41.87603
-5.0,-11.666667,46,-6.416667,1-7.25,23,41.9-9.6666-5.416667,22,42.0-38.0,99,42.311336
-7.0,28,42.385907
-10.0,38,42.483737
-9.0,32,43.446912
-4.5,14,43.474909
-3.75,11,43.498494
-5.25,17,43.539171
-3.0,9,43.563426
-8.333333,28,43.641395
-3.25,13,43.67849
-3.333333,13,43.71446
-6.916667,20,43.771482
-5.0,15,43.811074
-2.75,10,43.837958
-3.25,11,43.867879
-5.0,13,43.902454
-6.666667,16,43.946228
-4.583333,17,43.992322
-4.25,16,44.034472
-4.083333,13,44.069268
-3.0,10,44.096339
-8.166667,21,44.151871
-7.833333,19,44.204552
-4.0,14,44.242618
-4.583333,14,44.283623
-5.166667,14,44.321656
-4.666667,13,44.355751
-3.0,9,44.380575
-5.25,15,44.420026
-5.666667,13,44.454315
-6.083333,17,44.502892
-4.5,14,44.541292
-5.666667,15,44.583032
-3.833333,11,44.612589
-2.583333,9,44.63776
-4.333333,13,44.673475
-3.666667,12,44.704886
-8.0,26,44.781188
-4.0,13,44.815987
-2.75,9,44.840786
-4.833333,17,44.894007
-2.333333,8,44.920928
-2.666667,9,44.951332
-6.0,15,44.994799
-5.583333,21,45.043023
-2.333333,8,45.060925
-2.333333,8,45.082897
-3.5,13,45.117477
-3.583333,15,45.159323
-3.0,9,45.182601
-5.333333,13,45.217117
-4.083333,12,45.248458
-4.083333,12,45.283396
-3.0,9,45.309087
-2.333333,8,45.329728
-3.666667,12,45.362245
-2.333333,8,45.384415
-6.333333,15,45.425389
-4.666667,-9.75,37,45.44-4.083-4.083333,17,45.485285
-2.333333,8,45.505-3.91-2.333333,8,45.5284-3.5-4.333333,15,45-4.5,12,4-6.583333,-3.583333,13,4-4.333333,-5.333333,19,4-5.666667,-4.083333,13,4-5.25,19,4-6.083333,-4.0,11,45.783-4.33-3.583333,12,45.814-7.25,21,45.913743
-5.25,15,45.949738
-3.083333,10,45.977373
-5.833333,24,46.044385
-4.166667,15,46.08381
-4.083333,16,46.12804
-5.166667,16,46.170523
-4.583333,14,46.207452
-5.083333,16,46.251987
-4.5,15,46.295449
-4.416667,14,46.333461
-4.666667,14,46.37409
-3.0,9,46.393972
-2.333333,8,46.41171
-3.0,9,46.435519
-6.25,23,46.498598
-3.416667,12,46.53175
-4.083333,13,46.568183
-4.166667,18,46.618365
-4.333333,14,46.658625
-3.666667,12,46.692075
-4.416667,17,46.739288
-3.75,12,46.7715
-4.25,13,46.810183
-2.333333,8,46.831434
-2.833333,11,46.862409
-9.5,33,46.954906
-5.166667,16,46.996025
-4.583333,15,47.034805
-2.333333,8,47.056541
-3.0,9,47.078588
-7.916667,19,47.130094
-2.333333,8,47.152087
-4.583333,15,47.191641
-4.333333,14,47.229315
-5.666667,22,47.29353
-3.5,12,47.330515
-2.333333,8,47.35454
-4.0,13,47.387505
-6.583333,18,47.436718
-3.25,10,47.463806
-5.666667,13,47.502384
-4.416667,14,47.541682
-2.916667,9,47.56557
-2.666667,11,47.595876
-2.5,9,47.620363
-4.583333,16,47.66228
-3.0,9,47.686076
-4.416667,13,47.720766
-4.833333,21,47.778351
-4.416667,17,47.82888
-3.416667,11,47.859439
-3.25,11,47.88943
-8.333333,26,47.960073
-5.0,14,47.997728
-4.5,13,48.033172
-3.583333,13,48.068191
-2.333333,8,48.090357
-3.833333,15,48.136066
-4.916667,12,48.171429
-3.916667,15,48.210847
-4.0,13,48.24563
-4.5,13,48.27951
-3.0,9,48.305688
-5.583333,18,48.356857
-2.416667,9,48.382401
-3.583333,14,48.420445
-4.583333,13,48.459021
-6.5,18,48.506205
-2.333333,8,48.524984
-2.333333,8,48.541833
-3.583333,12,48.572521
-4.583333,16,48.618437
-3.583333,14,48.657793
-2.333333,8,48.679254
-5.666667,19,48.728646
-4.916667,13,48.762182
-3.833333,13,48.795998
-5.083333,18,48.844661
-5.333333,14,48.88256
-5.666667,23,48.949238
-3.083333,10,48.977561
-2.416667,9,49.000662
-2.333333,8,50.687168
-2.333333,8,50.704731
-3.25,11,50.729927
-3.333333,12,50.762072
-3.0,9,50.785385
-3.0,9,50.808863
-4.5,13,50.844915
-4.25,11,50.874869
-2.583333,10,50.904032
-2.416667,9,50.928723
-2.333333,8,50.949431
-2.916667,9,50.975203
-3.083333,10,51.002878
-2.416667,9,51.026202
-2.333333,8,51.048044
-2.583333,10,51.075705
-3.166667,11,51.126603
-3.0,9,51.147189
-2.333333,8,51.168422
-3.666667,10,51.194687
-2.75,9,51.219616
-3.916667,11,51.247373
-2.333333,8,51.267377
-3.5,11,51.296073
-3.25,11,51.325893
-3.0,9,51.349007
-3.5,12,51.381841
-2.333333,8,51.404558
-3.416667,11,51.434238
-6.25,18,51.484787
-3.0,9,51.50945
-3.75,14,51.548519
-2.333333,8,51.570363
-3.25,11,51.600774
-2.333333,8,51.623161
-2.333333,8,51.643992
-2.333333,8,51.6653
-2.333333,8,51.687208
-3.25,11,51.71783
-2.583333,10,51.743028
-2.333333,8,51.763567
-2.333333,8,51.786009
-2.583333,10,51.812726
-3.166667,11,51.845254
-3.25,11,51.874588
-3.0,9,51.898703
-2.833333,12,51.931097
-2.333333,8,51.952468
-3.083333,10,51.980028
-6.416667,16,52.022331
-3.0,9,52.047603
-3.0,9,52.073549
-2.416667,9,52.096213
-3.75,12,52.128015
-3.0,9,52.153722
-2.333333,8,52.175335
-2.333333,8,52.197529
-2.666667,9,52.223227
-3.916667,11,52.251476
-3.416667,11,52.280682
-3.916667,11,52.309987
-2.333333,8,52.333804
-4.083333,11,52.364109
-2.333333,8,52.383733
-5.5,15,52.425442
-3.0,9,52.448246
-2.333333,8,52.469094
-2.333333,8,52.490511
-3.25,11,52.520393
-3.25,10,52.548148
-2.333333,8,52.568467
-2.333333,8,52.606368
-2.583333,10,52.633655
-2.333333,8,52.659558
-3.25,10,52.687041
-2.333333,8,52.709008
-2.333333,8,52.730614
-3.25,11,52.76167
-2.916667,9,52.7849
-3.0,9,52.80844
-2.333333,8,52.83285
-2.333333,8,52.854516
-3.75,12,52.888011
-2.916667,9,52.912855
-2.916667,10,52.938739
-3.25,11,52.967635
-3.0,9,52.990565
-4.166667,12,53.023345
-2.333333,8,53.046025
-4.416667,12,53.079318
-2.583333,9,53.103237
-3.5,13,53.137565
-2.75,9,53.160758
-3.916667,12,53.191887
-3.0,9,53.214978
-2.333333,8,53.237788
-3.0,9,53.261161
-2.583333,10,53.287147
-3.25,11,53.316171
-2.416667,9,53.341691
-2.333333,8,53.362377
-3.0,9,53.387731
-2.333333,8,53.409165
-2.333333,8,53.429823
-3.0,9,53.454412
-2.333333,8,53.475406
-3.5,15,53.517781
-4.25,11,53.547853
-2.333333,8,53.569501
-2.583333,10,53.595567
-3.25,11,53.625091
-3.583333,10,53.650941
-4.0,13,53.684158
-2.416667,9,53.707079
-2.333333,8,53.728521
-3.25,11,53.75775
-2.333333,8,53.779464
-2.333333,8,53.801735
-2.333333,8,53.823728
-2.416667,9,53.-5.25,17-3.0,9,53.873502
-2.333333,8,53.89-2.583-2.333333,8,53.918-2.33-2.333333,8,53.940-2.58-2.333333,8,53.960-3.25-3.0,9,53.9855-4.25,11,53.959648
-4.25,11,53.989661
-3.083333,14,54.028766
-2.333333,8,54.050855
-3.666667,12,54.081006
-5.0,13,54.115584
-2.333333,8,54.136166
-3.083333,10,54.163082
-2.333333,8,54.18406
-4.25,11,54.21483
-3.666667,10,54.242209-6.25,20,54.330932
-4.166667,13,54.36815
-2.333333,8,54.389685
-3.0,9,54.414191
-2.333333,8,54.434153
-3.0,10,54.461647
-3.25,11,54.493111
-3.416667,11,54.523009
-2.333333,8,54.546699
--3.166667,11,54.52-2.41-3.083333,10,54.5-2.5833-2.333333,8,54.57-2.333-2.583333,9,54.59-2.916-3.0,9,54.624633-2.75,9,54.698134
-2.583333,10,54.724813
-2.3-4.25,11,54.701571--3.25,11,54.7315
-2.33-2.916667,12,54.81-2.333-5.5,15,54.855736
-2.333333,8,54.877907
-2.333333,8,54.898641
-2.333333,8,54.9-3.25,1-3.416667,12,54.951743
-2.333333,8,54.97329
-3.0,9,54.998731
-3.416667,10,55.02587
-3.0,9,55.05089
-3.0,9,55.0764-2.5-3.25,11,55.115073
-3.25,11,55.144449
-4.166667,17,55.12-2.333-2.666667,9,55.14-2.333-2.333333,8,55.-3.416667,11,55.243652
-2.333333,8,55.264761
-3.25,11,55.295003
-2.333333,-5.583333,15,-6.75,19,55.370139
-2.333333,8,55.390237
-4.5,13,55.425486
-4.083333,11,55.45379
-2.3333-4.333333,13,55.-3.75,15,55.514275
-3.0,9,55.538994
-2.333333,8,55.559588
-3.0,9,55.583911--3.666667,10,55.61-3.916-2.333333,8,55.632-2.33-2.333333,8,55.652-2.33-3.0,9,55.677064
-2.416667,9,55.70156-3.-3.416667,11,55-3.0,9,55-3.166667-3.0,9,55.71044-3.0,9,55.785906
-3.083333,10,55.813913
-4.25,11,55.845775
