#{"t_start": 1647345549.5906904, "env_id": "LGW-v0"}
r,l,t
27.0,200,1.432592
12.0,200,1.607872
54.0,200,1.78381
36.0,200,1.959896
75.0,200,2.139953
72.0,200,2.311889
75.0,200,2.488586
42.0,200,2.66142
45.0,200,2.832848
45.0,200,3.006268
63.0,200,3.785598
63.0,200,3.988388
87.0,200,4.190195
48.0,200,4.378652
42.0,200,4.570261
21.0,200,4.777755
42.0,200,4.968344
54.0,200,5.171075
69.0,200,5.346486
84.0,200,5.516419
84.0,200,7.092619
45.0,200,7.26691
90.0,200,7.452483
81.0,200,7.62654
66.0,200,7.798395
60.0,200,7.967728
105.0,200,8.136878
33.0,200,8.307477
75.0,200,8.479867
51.0,200,8.648769
48.0,200,9.420612
54.0,200,9.596737
72.0,200,9.768075
72.0,200,9.94059
72.0,200,10.113145
57.0,200,10.286325
69.0,200,10.454123
78.0,200,10.624658
81.0,200,10.79938
75.0,200,10.975437
75.0,200,11.74038
48.0,200,11.921694
57.0,200,12.095415
63.0,200,12.266657
63.0,200,12.442245
42.0,200,12.616151
51.0,200,12.789082
81.0,200,12.962939
51.0,200,13.136358
63.0,200,13.310155
72.0,200,13.480781
57.0,200,15.070534
54.0,200,15.241987
51.0,200,15.414181
66.0,200,15.584638
63.0,200,15.756141
54.0,200,15.926266
60.0,200,16.096838
63.0,200,16.272385
45.0,200,16.452125
48.0,200,16.625214
57.0,200,18.20966
48.0,200,18.383932
54.0,200,18.560503
72.0,200,18.73615
54.0,200,18.909026
84.0,200,19.083392
60.0,200,19.265639
51.0,200,19.463822
54.0,200,19.660391
48.0,200,19.876556
60.0,200,21.501664
81.0,200,21.700286
51.0,200,21.887893
54.0,200,22.080865
63.0,200,22.249291
72.0,200,22.417315
57.0,200,22.583585
66.0,200,22.751598
66.0,200,22.91937
75.0,200,23.085396
60.0,200,24.70283
54.0,200,24.905035
57.0,200,25.083863
57.0,200,25.255765
75.0,200,25.431273
51.0,200,25.600351
54.0,200,25.768759
63.0,200,25.939973
54.0,200,26.120792
72.0,200,26.309757
57.0,200,26.485754
60.0,200,28.06444
57.0,200,28.233918
63.0,200,28.417057
66.0,200,28.589879
57.0,200,28.768574
54.0,200,28.948227
57.0,200,29.125373
57.0,200,29.303948
57.0,200,29.477409
66.0,200,29.657333
66.0,200,31.278865
60.0,200,31.462281
57.0,200,31.636661
57.0,200,31.813349
60.0,200,31.994712
54.0,200,32.1747
60.0,200,32.354292
66.0,200,32.528216
66.0,200,32.712631
66.0,200,32.895885
57.0,200,34.509771
60.0,200,34.681764
63.0,200,34.867972
60.0,200,35.063073
60.0,200,35.243334
54.0,200,35.421196
66.0,200,35.595378
60.0,200,35.765258
63.0,200,35.936862
57.0,200,36.108781
60.0,200,37.705285
54.0,200,37.92387
63.0,200,38.121442
57.0,200,38.30032
66.0,200,38.474668
63.0,200,38.652406
63.0,200,38.824541
63.0,200,39.001038
69.0,200,39.171786
60.0,200,39.348222
60.0,200,39.523109
54.0,200,41.17804
57.0,200,41.359304
63.0,200,41.535852
63.0,200,41.712233
57.0,200,41.898864
60.0,200,42.080941
57.0,200,42.259074
60.0,200,42.433885
66.0,200,42.613469
60.0,200,42.792996
57.0,200,44.458637
57.0,200,44.62992
69.0,200,44.807766
60.0,200,45.013116
60.0,200,45.191712
66.0,200,45.366943
63.0,200,45.542964
57.0,200,45.716615
63.0,200,45.887457
60.0,200,46.059067
57.0,200,47.789931
60.0,200,47.973289
60.0,200,48.148491
57.0,200,48.323973
60.0,200,48.501479
60.0,200,48.679242
60.0,200,48.858515
60.0,200,49.03712
63.0,200,49.214448
63.0,200,49.392128
60.0,200,51.085256
63.0,200,51.264089
60.0,200,51.446193
57.0,200,51.621972
57.0,200,51.800401
57.0,200,51.977796
60.0,200,52.154481
60.0,200,52.330429
60.0,200,52.508781
57.0,200,52.687677
60.0,200,52.867456
60.0,200,54.591471
60.0,200,54.773356
57.0,200,54.958591
66.0,200,55.162499
60.0,200,55.342771
63.0,200,55.519017
57.0,200,55.698032
66.0,200,55.875264
60.0,200,56.052536
60.0,200,56.232711
57.0,200,58.013467
60.0,200,58.189916
63.0,200,58.370438
60.0,200,58.54459
60.0,200,58.718751
60.0,200,58.901473
60.0,200,59.117948
66.0,200,59.290914
60.0,200,59.463634
63.0,200,59.636398
60.0,200,61.404303
60.0,200,61.572495
60.0,200,61.743207
57.0,200,61.914722
60.0,200,62.087391
60.0,200,62.258922
60.0,200,62.432724
60.0,200,62.604473
63.0,200,62.774728
57.0,200,62.947354
63.0,200,64.964503
60.0,200,65.139894
57.0,200,65.317476
63.0,200,65.489059
60.0,200,65.660983
63.0,200,65.828731
60.0,200,65.999184
60.0,200,66.17203
60.0,200,66.344298
57.0,200,66.513645
60.0,200,66.684401
57.0,200,68.669759
60.0,200,68.905093
60.0,200,69.170577
60.0,200,69.429356
60.0,200,69.68211
60.0,200,69.8851
60.0,200,70.084504
60.0,200,70.276948
60.0,200,70.453824
60.0,200,70.629389
60.0,200,72.558552
60.0,200,72.79418
60.0,200,73.121968
60.0,200,73.348988
63.0,200,73.560675
60.0,200,73.766243
60.0,200,73.984353
60.0,200,74.183119
60.0,200,74.369889
63.0,200,74.647667
60.0,200,77.394983
60.0,200,77.626338
66.0,200,77.818396
60.0,200,78.014005
60.0,200,78.232499
63.0,200,78.422163
60.0,200,78.61121
60.0,200,78.844099
60.0,200,79.062649
60.0,200,79.260017
60.0,200,81.67234
60.0,200,81.895643
60.0,200,82.115644
60.0,200,82.447748
60.0,200,82.695559
60.0,200,82.926473
60.0,200,83.135845
60.0,200,83.368093
60.0,200,83.581438
60.0,200,83.771127
60.0,200,84.055339
60.0,200,86.887259
60.0,200,87.197193
60.0,200,87.420858
60.0,200,87.64559
60.0,200,87.845509
60.0,200,88.074055
60.0,200,88.306351
60.0,200,88.53376
60.0,200,88.741452
60.0,200,88.942816
60.0,200,91.376441
63.0,200,91.610292
60.0,200,91.815317
63.0,200,91.995405
60.0,200,92.179252
63.0,200,92.362506
60.0,200,92.540578
60.0,200,92.714819
60.0,200,92.893131
60.0,200,93.070497
57.0,200,95.122498
63.0,200,95.30129
60.0,200,95.479191
63.0,200,95.651818
60.0,200,95.823656
60.0,200,95.998638
60.0,200,96.171049
60.0,200,96.350577
60.0,200,96.537772
60.0,200,96.728781
60.0,200,98.859831
60.0,200,99.048211
60.0,200,99.22892
60.0,200,99.41642
60.0,200,99.591336
60.0,200,99.767155
60.0,200,99.944734
60.0,200,100.121479
60.0,200,100.294982
60.0,200,100.477256
60.0,200,102.749672
60.0,200,102.986414
60.0,200,103.203222
63.0,200,103.391018
60.0,200,103.578218
63.0,200,103.754454
60.0,200,103.933757
60.0,200,104.110106
60.0,200,104.28949
60.0,200,104.472047
60.0,200,104.656875
60.0,200,106.965907
60.0,200,107.190609
60.0,200,107.414036
60.0,200,107.639901
63.0,200,107.917206
60.0,200,108.189733
60.0,200,108.387631
60.0,200,108.61476
60.0,200,108.81369
60.0,200,109.01618
60.0,200,111.320137
60.0,200,111.542352
60.0,200,111.724223
60.0,200,111.933895
60.0,200,112.146915
60.0,200,112.328863
60.0,200,112.541456
60.0,200,112.763002
60.0,200,112.948581
60.0,200,113.155666
60.0,200,115.624815
60.0,200,115.840335
60.0,200,116.057453
60.0,200,116.283728
60.0,200,116.520547
60.0,200,116.734011
60.0,200,116.933726
60.0,200,117.170177
60.0,200,117.395674
60.0,200,117.608191
60.0,200,120.055918
60.0,200,120.24108
60.0,200,120.425246
60.0,200,120.602937
60.0,200,120.830826
60.0,200,121.015146
60.0,200,121.219061
60.0,200,121.418758
60.0,200,121.598589
60.0,200,121.785155
60.0,200,121.967891
60.0,200,124.166429
60.0,200,124.343217
60.0,200,124.52308
60.0,200,124.700989
60.0,200,124.884592
60.0,200,125.066206
60.0,200,125.243774
60.0,200,125.420881
60.0,200,125.602242
60.0,200,125.782177
60.0,200,128.009981
60.0,200,128.194701
60.0,200,128.381625
63.0,200,128.565036
60.0,200,128.753012
60.0,200,128.944686
60.0,200,129.126104
60.0,200,129.311086
60.0,200,129.500844
60.0,200,129.69681
60.0,200,131.994392
60.0,200,132.169159
60.0,200,132.360957
60.0,200,132.548346
60.0,200,132.735221
60.0,200,132.924569
60.0,200,133.107663
60.0,200,133.308702
60.0,200,133.509323
60.0,200,133.696009
60.0,200,135.94936
60.0,200,136.132924
60.0,200,136.32241
60.0,200,136.504231
60.0,200,136.716481
60.0,200,136.893749
60.0,200,137.074181
60.0,200,137.250607
60.0,200,137.424962
60.0,200,137.600229
60.0,200,137.777614
60.0,200,140.108484
60.0,200,140.29039
60.0,200,140.468701
60.0,200,140.651446
60.0,200,140.834295
60.0,200,141.020081
60.0,200,141.199096
60.0,200,141.383286
60.0,200,141.565948
60.0,200,141.750273
60.0,200,143.981101
60.0,200,144.168327
60.0,200,144.351005
60.0,200,144.537132
60.0,200,144.723902
60.0,200,144.905738
60.0,200,145.093424
60.0,200,145.280377
60.0,200,145.467628
