#{"t_start": 1650888470.1980486, "env_id": "SW-v0"}
r,l,t
0.0,200,1.140568
0.0,200,1.335135
0.0,200,1.553713
0.0,200,1.746607
0.0,200,1.922013
1.0,151,2.051407
0.0,200,2.306502
1.0,128,2.631175
0.0,200,3.205943
0.0,200,3.454556
0.0,200,5.824741
1.0,86,5.906997
1.0,42,5.944293
1.0,90,6.041423
1.0,54,6.098988
1.0,97,6.183229
0.0,200,6.356963
1.0,170,6.50458
0.0,200,6.692916
0.0,200,6.877088
1.0,21,6.895042
0.0,200,7.074647
1.0,126,7.189098
1.0,36,7.257517
0.0,200,7.448635
1.0,78,7.517483
0.0,200,7.720976
1.0,117,9.293699
1.0,89,9.371243
1.0,122,9.471397
1.0,94,9.548355
1.0,84,9.620049
1.0,36,9.652515
1.0,22,9.670549
1.0,72,9.729597
1.0,63,9.781572
1.0,31,9.807829
1.0,32,9.834715
1.0,43,9.870763
1.0,43,9.908487
1.0,59,9.959593
1.0,58,10.00683
1.0,24,10.027089
1.0,68,10.084805
1.0,86,10.159611
1.0,38,10.192626
1.0,62,10.246671
1.0,136,10.360344
1.0,77,10.427249
1.0,23,10.447175
1.0,21,10.465452
1.0,126,10.573066
1.0,67,10.631147
1.0,41,10.666707
1.0,42,10.703428
1.0,107,10.796923
1.0,17,10.811939
1.0,37,10.844677
1.0,101,10.933173
1.0,74,12.51337
1.0,55,12.570232
1.0,36,12.604382
1.0,64,12.658718
1.0,27,12.681796
1.0,66,12.737444
1.0,35,12.766999
1.0,42,12.801483
1.0,78,12.869539
1.0,57,12.924815
1.0,54,12.973617
1.0,45,13.013172
1.0,36,13.044848
1.0,60,13.097498
1.0,85,13.172066
1.0,49,13.215121
1.0,21,13.233717
1.0,35,13.264394
1.0,86,13.339254
1.0,41,13.375169
1.0,129,13.487733
1.0,73,13.552656
1.0,53,13.599208
1.0,77,13.666321
1.0,49,13.709213
1.0,44,13.745041
1.0,56,13.792752
1.0,86,13.86489
1.0,58,13.911994
1.0,21,13.932343
1.0,87,14.021319
1.0,26,14.044654
1.0,81,14.121687
1.0,24,14.144558
1.0,30,14.172253
1.0,29,14.198471
1.0,65,14.259289
1.0,27,14.283965
1.0,74,16.576317
1.0,19,16.596647
1.0,19,16.615426
1.0,43,16.655068
1.0,21,16.673749
1.0,25,16.697612
1.0,71,16.767419
1.0,16,16.781823
1.0,24,16.802747
1.0,43,16.84191
1.0,41,16.881758
1.0,41,16.917731
1.0,39,16.960491
1.0,17,16.97631
1.0,18,16.9926
1.0,28,17.020541
1.0,27,17.045147
1.0,43,17.085555
1.0,28,17.111663
1.0,87,17.208666
1.0,43,17.273982
